benchmark,policy,r1,r2,r3
dom,chaincolorrr,2.789194e+01,2.765979e+01,2.750327e+01
dom,chaincolorch,2.806978e+01,2.758816e+01,2.740144e+01
dom,vanilla,2.842309e+01,2.748682e+01,2.711606e+01
dom,random,3.118376e+01,3.614829e+01,3.105718e+01
dom,optimal,2.791479e+01,2.900565e+01,2.736722e+01
all2all,optimal,6.778486e+01,6.121399e+01,6.219434e+01
all2all,vanilla,6.293723e+01,6.091949e+01,6.029520e+01
all2all,random,7.238398e+01,7.629045e+01,7.359457e+01
all2all,chaincolorrr,6.035316e+01,6.418471e+01,6.034968e+01
all2all,chaincolorch,6.274768e+01,5.917660e+01,5.944558e+01
fft,chaincolorrr,6.738225e+01,6.674144e+01,6.977447e+01
fft,chaincolorch,8.607356e+01,8.191263e+01,8.588313e+01
fft,optimal,7.260903e+01,7.005285e+01,7.643366e+01
fft,vanilla,7.101086e+01,7.154099e+01,7.704930e+01
fft,random,8.846087e+01,8.228713e+01,8.594729e+01
