appname,scheduler,end2end,remote_read,local_read,transimit(s),compute(s),deseriation(s),serialization(s),task_time
all2all4x41GB1B_58e5586a,optimal,314.90853647581866,51539607552,17179869184,732.7525683651759,90,167.50783781345282,741.7525400033994,1083.3777533591197
all2all3x41GB1B_fec067dc,optimal,279.7080356144497,28991029248,12884901888,335.9522300045095,68,102.07508866757281,556.3144050463181,772.0876111943284
stencil_1d4x41GB1B_7013403d,optimal,295.70792730647713,34359738368,15032385536,488.35211149315285,86,120.3962584284192,741.7525400033994,1014.1775811493801
stencil_1d5x41GB1B_a298f007,optimal,314.2367861645412,41875931136,21474836480,736.7583426936699,113,154.42128798427677,927.1906749604807,1306.431260384396
stencil_1d_periodic5x41GB1B_0f26fdac,optimal,329.0376943130162,49392123904,20401094656,903.5218982310405,109,170.125147779288,927.1906749604807,1349.9958057792687
tree5x41GB1B_e6a59da7,optimal,263.89822962405,12884901888,11811160064,204.74249190454537,60,60.198129214209615,556.3144050463181,708.5125684199497
tree7x41GB1B_41b765fc,optimal,273.50823070510864,17179869184,11811160064,284.16946290153896,71,70.6673690775504,649.0334725248588,837.2845322123094
randomnearest5x41GB1B_d41204ff,optimal,292.7078678594121,27917287424,18253611008,587.7543937751467,102,112.54432853091359,927.1906749604807,1186.2677544486573
all2all4x41GB1B_58e5586a,vanilla,371.7189312997054,32212254720,36507222016,924.579626023755,90,167.50783781345282,741.7525400033994,1244.9403197121937
all2all3x41GB1B_fec067dc,vanilla,297.0424167706143,21474836480,20401094656,338.5310618565667,68,102.07508866757281,556.3144050463181,793.8289536001195
stencil_1d4x41GB1B_7013403d,vanilla,316.69351538664773,23622320128,25769803776,529.0542404869701,86,120.3962584284192,741.7525400033994,1064.6555566977052
stencil_1d5x41GB1B_a298f007,vanilla,335.18867708749895,40802189312,22548578304,805.7066220891123,113,154.42128798427677,927.1906749604807,1348.4482054618902
stencil_1d_periodic5x41GB1B_0f26fdac,vanilla,327.31843918611537,39728447488,30064771072,819.7243616596983,109,170.125147779288,927.1906749604807,1342.3456711062017
tree5x41GB1B_e6a59da7,vanilla,263.90786672357115,12884901888,11811160064,203.58670911424633,60,60.198129214209615,556.3144050463181,709.7394756979803
tree7x41GB1B_41b765fc,vanilla,263.7328571018547,13958643712,15032385536,278.02716270274607,71,70.6673690775504,649.0334725248588,833.5311595166462
randomnearest5x41GB1B_d41204ff,vanilla,307.4064992500438,23622320128,22548578304,596.3773196390053,102,112.54432853091359,927.1906749604807,1233.4337074375364
all2all4x41GB1B_58e5586a,random,348.56828185157406,50465865728,18253611008,893.258480172116,90,167.50783781345282,741.7525400033994,1162.8893396791539
all2all3x41GB1B_fec067dc,random,297.4986937896332,26843545600,15032385536,359.7945488314697,68,102.07508866757281,556.3144050463181,788.4780018642386
stencil_1d4x41GB1B_7013403d,random,304.30824990469597,38654705664,10737418240,565.2601144063167,86,120.3962584284192,741.7525400033994,1039.777712329145
stencil_1d5x41GB1B_a298f007,random,345.18060800268523,49392123904,13958643712,938.8148044853715,113,154.42128798427677,927.1906749604807,1392.1598951811839
stencil_1d_periodic5x41GB1B_0f26fdac,random,352.83693788382607,48318382080,21474836480,1005.0445043125856,109,170.125147779288,927.1906749604807,1397.096516691372
tree5x41GB1B_e6a59da7,random,276.70806379552573,20401094656,4294967296,278.7175021302714,60,60.198129214209615,556.3144050463181,754.847210116567
tree7x41GB1B_41b765fc,random,284.00789004569685,23622320128,5368709120,352.35213415909266,71,70.6673690775504,649.0334725248588,910.1758533240348
randomnearest5x41GB1B_d41204ff,random,307.63740223088524,30064771072,16106127360,641.6023100068882,102,112.54432853091359,927.1906749604807,1283.146911425804
all2all4x41GB1B_58e5586a,chain_color_ch,315.89289172468705,40802189312,27917287424,727.1064468790312,90,167.50783781345282,741.7525400033994,1092.6220010913592
all2all3x41GB1B_fec067dc,chain_color_ch,286.1080214630032,27917287424,13958643712,335.9522180686795,68,102.07508866757281,556.3144050463181,775.2876077819625
stencil_1d4x41GB1B_7013403d,chain_color_ch,303.76789879766784,27917287424,21474836480,487.32925531638784,86,120.3962584284192,741.7525400033994,1031.0806201750308
stencil_1d5x41GB1B_a298f007,chain_color_ch,321.0371691327657,39728447488,23622320128,782.4006856973037,113,154.42128798427677,927.1906749604807,1330.7135129877097
stencil_1d_periodic5x41GB1B_0f26fdac,chain_color_ch,324.6973749335547,39728447488,30064771072,841.1012048916491,109,170.125147779288,927.1906749604807,1345.7374160887528
tree5x41GB1B_e6a59da7,chain_color_ch,261.30734045038463,12884901888,11811160064,207.35980022827266,60,60.198129214209615,556.3144050463181,712.9168678659214
tree7x41GB1B_41b765fc,chain_color_ch,269.1328854429319,16106127360,12884901888,279.1925561869635,71,70.6673690775504,649.0334725248588,833.5051959425958
randomnearest5x41GB1B_d41204ff,chain_color_ch,295.4367688303929,20401094656,25769803776,555.1977203799074,102,112.54432853091359,927.1906749604807,1190.9707307384256
all2all4x41GB1B_58e5586a,round_robin,311.70825605254254,51539607552,17179869184,713.552568323453,90,167.50783781345282,741.7525400033994,1076.977753341238
all2all3x41GB1B_fec067dc,round_robin,289.3084372117335,32212254720,9663676416,384.85993646303064,68,102.07508866757281,556.3144050463181,788.0876181591312
stencil_1d4x41GB1B_7013403d,round_robin,297.90839608695,34359738368,15032385536,495.5516640487214,86,120.3962584284192,741.7525400033994,1018.3773679729956
stencil_1d5x41GB1B_a298f007,round_robin,320.3083570632302,49392123904,13958643712,816.9714184079592,113,154.42128798427677,927.1906749604807,1313.6673278533722
stencil_1d_periodic5x41GB1B_0f26fdac,round_robin,326.7080071333014,51539607552,18253611008,890.1058649309052,109,170.125147779288,927.1906749604807,1332.6675379830278
tree5x41GB1B_e6a59da7,round_robin,276.7078612600604,20401094656,4294967296,263.25982002852356,60,60.198129214209615,556.3144050463181,759.7222176614957
tree7x41GB1B_41b765fc,round_robin,283.10788858785867,23622320128,5368709120,352.8598365088351,71,70.6673690775504,649.0334725248588,891.9758791063014
randomnearest5x41GB1B_d41204ff,round_robin,292.708400902819,32212254720,13958643712,613.2716823205626,102,112.54432853091359,927.1906749604807,1216.2677687940052
all2all4x41GB1B_58e5586a,chain_color_rr,310.70823522314066,51539607552,17179869184,723.1525683800772,90,167.50783781345282,741.7525400033994,1080.177755069773
all2all3x41GB1B_fec067dc,chain_color_rr,286.10804164848867,27917287424,13958643712,335.9522180686795,68,102.07508866757281,556.3144050463181,775.2876077819625
stencil_1d4x41GB1B_7013403d,chain_color_rr,296.90800521347313,32212254720,17179869184,471.55217527403425,86,120.3962584284192,741.7525400033994,1007.9776287042008
stencil_1d5x41GB1B_a298f007,chain_color_rr,309.236810737301,40802189312,22548578304,726.5800160565472,113,154.42128798427677,927.1906749604807,1283.8618163586775
stencil_1d_periodic5x41GB1B_0f26fdac,chain_color_rr,328.43683645279367,44023414784,25769803776,848.8095562768494,109,170.125147779288,927.1906749604807,1340.5962562345885
tree5x41GB1B_e6a59da7,chain_color_rr,257.49823141200307,11811160064,12884901888,200.95979500988597,60,60.198129214209615,556.3144050463181,705.9212165594549
tree7x41GB1B_41b765fc,chain_color_rr,269.13284190118014,15032385536,13958643712,272.7925510162607,71,70.6673690775504,649.0334725248588,826.5095307618309
randomnearest5x41GB1B_d41204ff,chain_color_rr,286.22387836402555,18253611008,27917287424,549.0620205613355,102,112.54432853091359,927.1906749604807,1174.8350309198538
randomnearest5x41GB1B_d41204ff,chain_color_rr,286.2234635119726,18253611008,27917287424,549.0620205613355,102,112.54432853091359,927.1906749604807,1174.8350309198538
randomnearest5x41GB1B_d41204ff,chain_color_rr,100.78511706831274,18253611008,27917287424,549.0620204659674,102,112.54432853091359,0.0,248.23998727216312
randomnearest5x41GB1B_d41204ff,chain_color_rr,76.40074492506679,18253611008,27917287424,321.3999847959724,102,0,0.0,183.79989144146737
